time,aggregate,microwave
2014-07-23 14:12:54,530.0,50.0
2014-07-23 14:13:00,544.0,50.0
2014-07-23 14:13:06,548.0,50.0
2014-07-23 14:13:12,533.0,50.0
2014-07-23 14:13:18,537.0,50.0
2014-07-23 14:13:24,539.0,48.0
2014-07-23 14:13:30,530.0,48.0
2014-07-23 14:13:36,546.0,48.0
2014-07-23 14:13:42,546.0,50.0
2014-07-23 14:13:48,540.0,48.0
2014-07-23 14:14:06,537.0,50.0
2014-07-23 14:14:12,537.0,48.0
2014-07-23 14:14:18,531.0,48.0
2014-07-23 14:14:24,531.0,50.0
2014-07-23 14:14:30,541.0,50.0
2014-07-23 14:14:36,538.0,50.0
2014-07-23 14:14:42,536.0,50.0
2014-07-23 14:14:48,532.0,50.0
2014-07-23 14:14:54,532.0,50.0
2014-07-23 14:15:00,540.0,50.0
2014-07-23 14:15:06,546.0,50.0
2014-07-23 14:15:12,538.0,50.0
2014-07-23 14:15:18,534.0,50.0
2014-07-23 14:15:24,533.0,50.0
2014-07-23 14:15:30,550.0,50.0
2014-07-23 14:15:36,550.0,48.0
2014-07-23 14:15:42,532.0,48.0
2014-07-23 14:15:48,537.0,48.0
2014-07-23 14:15:54,540.0,50.0
2014-07-23 14:16:00,529.0,50.0
2014-07-23 14:16:06,527.0,50.0
2014-07-23 14:16:12,528.0,50.0
2014-07-23 14:16:18,537.0,48.0
2014-07-23 14:16:24,536.0,50.0
2014-07-23 14:16:30,551.0,50.0
2014-07-23 14:16:36,538.0,50.0
2014-07-23 14:16:42,535.0,48.0
2014-07-23 14:16:48,541.0,50.0
2014-07-23 14:16:54,540.0,50.0
2014-07-23 14:17:00,540.0,50.0
2014-07-23 14:17:06,540.0,50.0
2014-07-23 14:17:12,535.0,50.0
2014-07-23 14:17:18,568.0,48.0
2014-07-23 14:17:24,542.0,50.0
2014-07-23 14:17:30,538.0,50.0
2014-07-23 14:17:36,529.0,48.0
2014-07-23 14:17:42,561.0,50.0
2014-07-23 14:17:48,525.0,50.0
2014-07-23 14:17:54,573.0,50.0
2014-07-23 14:18:00,560.0,50.0
2014-07-23 14:18:06,558.0,50.0
2014-07-23 14:18:12,535.0,50.0
2014-07-23 14:18:18,543.0,50.0
2014-07-23 14:18:24,536.0,50.0
2014-07-23 14:18:30,531.0,50.0
2014-07-23 14:18:36,536.0,50.0
2014-07-23 14:18:42,539.0,50.0
2014-07-23 14:18:48,546.0,50.0
2014-07-23 14:18:54,534.0,50.0
2014-07-23 14:19:00,540.0,50.0
2014-07-23 14:19:06,536.0,50.0
2014-07-23 14:19:12,535.0,50.0
2014-07-23 14:19:18,535.0,50.0
2014-07-23 14:19:24,543.0,50.0
2014-07-23 14:19:30,536.0,50.0
2014-07-23 14:19:36,539.0,50.0
2014-07-23 14:19:42,542.0,48.0
2014-07-23 14:19:48,548.0,50.0
2014-07-23 14:19:54,536.0,50.0
2014-07-23 14:20:00,548.0,50.0
2014-07-23 14:20:06,543.0,50.0
2014-07-23 14:20:12,546.0,48.0
2014-07-23 14:20:18,542.0,48.0
2014-07-23 14:20:24,541.0,50.0
2014-07-23 14:20:30,545.0,50.0
2014-07-23 14:20:36,551.0,48.0
2014-07-23 14:20:42,547.0,50.0
2014-07-23 14:20:48,547.0,48.0
2014-07-23 14:20:54,539.0,50.0
2014-07-23 14:21:00,547.0,48.0
2014-07-23 14:21:06,544.0,50.0
2014-07-23 14:21:12,539.0,50.0
2014-07-23 14:21:18,551.0,48.0
2014-07-23 14:21:24,548.0,50.0
2014-07-23 14:21:30,552.0,50.0
2014-07-23 14:21:36,551.0,50.0
2014-07-23 14:21:42,547.0,48.0
2014-07-23 14:21:48,533.0,48.0
2014-07-23 14:21:54,551.0,50.0
2014-07-23 14:22:00,534.0,50.0
2014-07-23 14:22:12,547.0,50.0
2014-07-23 14:22:18,547.0,50.0
2014-07-23 14:22:24,540.0,48.0
2014-07-23 14:22:30,539.0,48.0
2014-07-23 14:22:36,548.0,50.0
2014-07-23 14:22:42,550.0,50.0
2014-07-23 14:22:48,533.0,48.0
2014-07-23 14:22:54,543.0,50.0
2014-07-23 14:23:00,543.0,50.0
2014-07-23 14:23:06,547.0,50.0
2014-07-23 14:23:12,540.0,50.0
2014-07-23 14:23:18,536.0,50.0
2014-07-23 14:23:24,541.0,50.0
2014-07-23 14:23:30,551.0,48.0
2014-07-23 14:23:36,547.0,50.0
2014-07-23 14:23:42,531.0,50.0
2014-07-23 14:23:48,547.0,50.0
2014-07-23 14:23:54,540.0,48.0
2014-07-23 14:24:00,550.0,50.0
2014-07-23 14:24:06,554.0,50.0
2014-07-23 14:24:12,530.0,50.0
2014-07-23 14:24:18,546.0,50.0
2014-07-23 14:24:24,534.0,48.0
2014-07-23 14:24:30,546.0,50.0
2014-07-23 14:24:36,538.0,50.0
2014-07-23 14:24:42,541.0,50.0
2014-07-23 14:24:48,539.0,50.0
2014-07-23 14:24:54,544.0,50.0
2014-07-23 14:25:00,545.0,50.0
2014-07-23 14:25:06,554.0,50.0
2014-07-23 14:25:12,535.0,50.0
2014-07-23 14:25:18,550.0,50.0
2014-07-23 14:25:24,555.0,50.0
2014-07-23 14:25:30,547.0,48.0
2014-07-23 14:25:36,546.0,48.0
2014-07-23 14:25:42,551.0,50.0
2014-07-23 14:25:48,536.0,50.0
2014-07-23 14:25:54,537.0,50.0
2014-07-23 14:26:00,546.0,50.0
2014-07-23 14:26:06,536.0,48.0
2014-07-23 14:26:12,552.0,50.0
2014-07-23 14:26:18,548.0,48.0
2014-07-23 14:26:24,534.0,50.0
2014-07-23 14:26:30,538.0,50.0
2014-07-23 14:26:36,550.0,50.0
2014-07-23 14:26:42,551.0,50.0
2014-07-23 14:26:48,549.0,50.0
2014-07-23 14:26:54,549.0,50.0
2014-07-23 14:27:00,539.0,50.0
2014-07-23 14:27:06,541.0,50.0
2014-07-23 14:27:12,537.0,50.0
2014-07-23 14:27:18,544.0,50.0
2014-07-23 14:27:24,540.0,50.0
2014-07-23 14:27:30,544.0,50.0
2014-07-23 14:27:36,557.0,50.0
2014-07-23 14:27:42,526.0,50.0
2014-07-23 14:27:48,553.0,50.0
2014-07-23 14:27:54,548.0,48.0
2014-07-23 14:28:00,538.0,50.0
2014-07-23 14:28:06,553.0,50.0
2014-07-23 14:28:12,537.0,48.0
2014-07-23 14:28:18,558.0,50.0
2014-07-23 14:28:24,549.0,48.0
2014-07-23 14:28:30,540.0,50.0
2014-07-23 14:28:36,550.0,50.0
2014-07-23 14:28:42,550.0,50.0
2014-07-23 14:28:48,554.0,50.0
2014-07-23 14:28:54,535.0,50.0
2014-07-23 14:29:00,552.0,50.0
2014-07-23 14:29:06,534.0,50.0
2014-07-23 14:29:12,548.0,48.0
2014-07-23 14:29:18,523.0,50.0
