time,aggregate,washing_machine
2013-05-30 04:44:06,119.0,3.0
2013-05-30 04:44:42,121.0,3.0
2013-05-30 04:44:48,122.0,3.0
2013-05-30 04:45:06,120.0,4.0
2013-05-30 04:45:12,120.0,4.0
2013-05-30 04:45:18,120.0,3.0
2013-05-30 04:45:42,122.0,3.0
2013-05-30 04:45:48,118.0,3.0
2013-05-30 04:45:54,122.0,3.0
2013-05-30 04:46:00,120.0,3.0
2013-05-30 04:46:12,120.0,3.0
2013-05-30 04:46:18,121.0,3.0
2013-05-30 04:46:24,119.0,3.0
2013-05-30 04:46:36,119.0,3.0
2013-05-30 04:46:42,122.0,3.0
2013-05-30 04:46:48,122.0,3.0
2013-05-30 04:46:54,119.0,3.0
2013-05-30 04:47:00,119.0,3.0
2013-05-30 04:47:06,120.0,3.0
2013-05-30 04:47:12,120.0,3.0
2013-05-30 04:47:36,119.0,3.0
2013-05-30 04:47:42,119.0,3.0
2013-05-30 04:48:00,121.0,3.0
2013-05-30 04:48:06,119.0,3.0
2013-05-30 04:48:48,120.0,3.0
2013-05-30 04:48:54,121.0,3.0
2013-05-30 04:51:36,119.0,3.0
2013-05-30 04:51:42,120.0,3.0
2013-05-30 04:53:06,121.0,3.0
2013-05-30 04:53:12,121.0,3.0
2013-05-30 04:53:36,120.0,3.0
2013-05-30 04:53:42,121.0,3.0
2013-05-30 04:53:48,121.0,3.0
2013-05-30 04:53:54,121.0,3.0
2013-05-30 04:54:18,119.0,3.0
2013-05-30 04:54:24,121.0,3.0
2013-05-30 04:54:48,120.0,3.0
2013-05-30 04:54:54,119.0,3.0
2013-05-30 04:55:12,121.0,3.0
2013-05-30 04:55:18,121.0,3.0
2013-05-30 04:55:24,120.0,3.0
2013-05-30 04:55:30,121.0,3.0
2013-05-30 04:55:54,120.0,3.0
2013-05-30 04:56:00,122.0,3.0
2013-05-30 04:56:30,121.0,3.0
2013-05-30 04:56:36,120.0,3.0
2013-05-30 04:56:42,122.0,3.0
2013-05-30 04:56:48,122.0,3.0
2013-05-30 04:56:54,122.0,3.0
2013-05-30 04:57:00,121.0,3.0
2013-05-30 04:57:06,122.0,3.0
2013-05-30 04:57:12,121.0,3.0
2013-05-30 04:57:18,122.0,3.0
2013-05-30 04:57:24,122.0,3.0
2013-05-30 04:57:30,122.0,3.0
2013-05-30 04:57:36,122.0,3.0
2013-05-30 04:57:42,122.0,3.0
2013-05-30 04:57:48,122.0,3.0
2013-05-30 04:57:54,121.0,3.0
2013-05-30 04:58:00,121.0,3.0
2013-05-30 04:58:06,121.0,3.0
2013-05-30 04:58:12,120.0,3.0
2013-05-30 04:58:18,120.0,3.0
2013-05-30 04:58:24,120.0,3.0
2013-05-30 04:58:30,122.0,3.0
2013-05-30 04:58:36,121.0,3.0
2013-05-30 04:58:42,121.0,3.0
2013-05-30 04:58:48,120.0,3.0
2013-05-30 04:58:54,122.0,3.0
2013-05-30 04:59:00,122.0,3.0
2013-05-30 04:59:06,119.0,3.0
2013-05-30 04:59:12,122.0,3.0
2013-05-30 04:59:18,122.0,3.0
2013-05-30 04:59:24,121.0,3.0
2013-05-30 04:59:30,121.0,4.0
2013-05-30 04:59:36,121.0,3.0
2013-05-30 04:59:42,122.0,3.0
2013-05-30 04:59:48,119.0,3.0
2013-05-30 04:59:54,120.0,4.0
2013-05-30 05:00:00,120.0,3.0
2013-05-30 05:00:06,122.0,3.0
2013-05-30 05:00:12,122.0,4.0
2013-05-30 05:00:18,122.0,3.0
2013-05-30 05:00:24,122.0,3.0
2013-05-30 05:00:30,121.0,4.0
2013-05-30 05:00:36,122.0,3.0
2013-05-30 05:00:42,121.0,3.0
2013-05-30 05:00:48,123.0,3.0
2013-05-30 05:00:54,122.0,3.0
2013-05-30 05:01:00,122.0,3.0
2013-05-30 05:01:06,122.0,3.0
2013-05-30 05:01:12,120.0,3.0
2013-05-30 05:01:18,122.0,3.0
2013-05-30 05:01:24,123.0,3.0
2013-05-30 05:01:30,122.0,3.0
2013-05-30 05:01:36,122.0,3.0
2013-05-30 05:01:42,122.0,3.0
2013-05-30 05:01:48,122.0,3.0
2013-05-30 05:01:54,121.0,3.0
2013-05-30 05:02:00,120.0,3.0
2013-05-30 05:02:06,120.0,3.0
2013-05-30 05:02:12,122.0,3.0
2013-05-30 05:02:18,119.0,3.0
2013-05-30 05:02:24,121.0,3.0
2013-05-30 05:02:30,121.0,3.0
2013-05-30 05:02:36,122.0,3.0
2013-05-30 05:02:42,122.0,3.0
2013-05-30 05:02:48,119.0,3.0
2013-05-30 05:02:54,119.0,4.0
2013-05-30 05:03:00,121.0,3.0
2013-05-30 05:03:06,119.0,3.0
2013-05-30 05:03:12,122.0,3.0
2013-05-30 05:03:18,119.0,3.0
2013-05-30 05:03:24,123.0,3.0
2013-05-30 05:03:30,120.0,3.0
2013-05-30 05:03:36,122.0,3.0
2013-05-30 05:03:42,119.0,3.0
2013-05-30 05:03:48,120.0,3.0
2013-05-30 05:03:54,119.0,3.0
2013-05-30 05:04:00,122.0,3.0
2013-05-30 05:04:06,119.0,3.0
2013-05-30 05:04:12,122.0,3.0
2013-05-30 05:04:18,121.0,4.0
2013-05-30 05:04:24,121.0,3.0
2013-05-30 05:04:30,121.0,3.0
2013-05-30 05:04:36,122.0,3.0
2013-05-30 05:04:42,121.0,3.0
2013-05-30 05:04:48,122.0,3.0
2013-05-30 05:04:54,121.0,3.0
2013-05-30 05:05:00,120.0,3.0
2013-05-30 05:05:06,121.0,3.0
2013-05-30 05:05:12,122.0,3.0
2013-05-30 05:05:18,119.0,3.0
2013-05-30 05:05:24,119.0,3.0
2013-05-30 05:05:30,119.0,3.0
2013-05-30 05:05:36,120.0,3.0
2013-05-30 05:05:42,120.0,3.0
2013-05-30 05:05:48,119.0,3.0
2013-05-30 05:05:54,119.0,3.0
2013-05-30 05:06:00,119.0,3.0
2013-05-30 05:06:06,121.0,3.0
2013-05-30 05:06:12,120.0,3.0
2013-05-30 05:06:18,119.0,3.0
2013-05-30 05:06:24,119.0,3.0
2013-05-30 05:06:30,119.0,3.0
2013-05-30 05:06:36,118.0,3.0
2013-05-30 05:06:42,121.0,3.0
2013-05-30 05:06:48,120.0,3.0
2013-05-30 05:06:54,120.0,3.0
2013-05-30 05:07:00,120.0,3.0
2013-05-30 05:07:06,120.0,3.0
2013-05-30 05:07:12,119.0,3.0
2013-05-30 05:07:18,119.0,3.0
2013-05-30 05:07:24,120.0,3.0
2013-05-30 05:07:30,120.0,3.0
2013-05-30 05:07:36,119.0,3.0
2013-05-30 05:07:42,119.0,3.0
2013-05-30 05:07:48,119.0,3.0
2013-05-30 05:07:54,118.0,3.0
2013-05-30 05:08:00,120.0,3.0
2013-05-30 05:08:06,120.0,3.0
2013-05-30 05:08:12,120.0,3.0
2013-05-30 05:08:18,119.0,3.0
2013-05-30 05:08:24,121.0,3.0
2013-05-30 05:08:30,119.0,3.0
2013-05-30 05:08:36,120.0,3.0
2013-05-30 05:08:42,119.0,3.0
2013-05-30 05:08:48,121.0,3.0
2013-05-30 05:08:54,121.0,3.0
2013-05-30 05:09:00,119.0,4.0
2013-05-30 05:09:06,120.0,4.0
2013-05-30 05:09:12,119.0,4.0
2013-05-30 05:09:18,121.0,3.0
2013-05-30 05:09:24,120.0,3.0
2013-05-30 05:09:30,119.0,3.0
2013-05-30 05:09:36,120.0,3.0
2013-05-30 05:09:42,120.0,3.0
2013-05-30 05:09:48,119.0,3.0
2013-05-30 05:09:54,121.0,3.0
2013-05-30 05:10:00,120.0,4.0
2013-05-30 05:10:06,118.0,3.0
2013-05-30 05:10:12,120.0,3.0
2013-05-30 05:10:18,121.0,4.0
2013-05-30 05:10:24,630.0,3.0
2013-05-30 05:10:30,177.0,3.0
2013-05-30 05:10:36,177.0,3.0
2013-05-30 05:10:42,175.0,3.0
2013-05-30 05:10:48,178.0,3.0
2013-05-30 05:10:54,181.0,3.0
2013-05-30 05:11:00,181.0,3.0
2013-05-30 05:11:06,178.0,3.0
2013-05-30 05:11:12,177.0,4.0
2013-05-30 05:11:18,181.0,4.0
2013-05-30 05:11:24,179.0,3.0
2013-05-30 05:11:30,181.0,3.0
2013-05-30 05:11:36,181.0,3.0
2013-05-30 05:11:42,179.0,3.0
2013-05-30 05:11:48,179.0,3.0
2013-05-30 05:11:54,178.0,3.0
2013-05-30 05:12:00,178.0,3.0
2013-05-30 05:12:06,178.0,3.0
2013-05-30 05:12:12,180.0,3.0
2013-05-30 05:12:18,183.0,3.0
2013-05-30 05:12:24,181.0,3.0
2013-05-30 05:12:30,179.0,3.0
2013-05-30 05:12:36,177.0,3.0
2013-05-30 05:12:42,181.0,3.0
2013-05-30 05:12:48,175.0,3.0
2013-05-30 05:12:54,179.0,3.0
2013-05-30 05:13:00,178.0,3.0
2013-05-30 05:13:06,175.0,3.0
2013-05-30 05:13:12,175.0,3.0
2013-05-30 05:13:18,175.0,3.0
2013-05-30 05:13:24,176.0,3.0
2013-05-30 05:13:30,179.0,3.0
2013-05-30 05:13:36,174.0,3.0
2013-05-30 05:13:42,179.0,3.0
2013-05-30 05:13:48,173.0,3.0
2013-05-30 05:14:12,176.0,3.0
2013-05-30 05:14:18,172.0,3.0
2013-05-30 05:14:24,177.0,3.0
2013-05-30 05:14:30,175.0,3.0
2013-05-30 05:14:36,172.0,3.0
2013-05-30 05:14:42,176.0,4.0
2013-05-30 05:14:48,175.0,4.0
2013-05-30 05:14:54,171.0,3.0
2013-05-30 05:15:00,176.0,3.0
2013-05-30 05:15:06,176.0,4.0
2013-05-30 05:15:12,170.0,3.0
2013-05-30 05:15:24,173.0,3.0
2013-05-30 05:15:30,174.0,3.0
2013-05-30 05:15:36,175.0,3.0
2013-05-30 05:15:42,171.0,3.0
2013-05-30 05:15:48,173.0,3.0
2013-05-30 05:15:54,175.0,3.0
2013-05-30 05:16:00,174.0,3.0
2013-05-30 05:16:06,171.0,3.0
2013-05-30 05:16:12,173.0,3.0
2013-05-30 05:16:18,174.0,3.0
2013-05-30 05:16:24,175.0,3.0
2013-05-30 05:16:30,172.0,3.0
2013-05-30 05:16:36,172.0,3.0
2013-05-30 05:16:42,171.0,3.0
2013-05-30 05:17:06,173.0,3.0
2013-05-30 05:17:12,172.0,3.0
2013-05-30 05:17:30,174.0,3.0
2013-05-30 05:17:36,175.0,3.0
2013-05-30 05:18:00,173.0,3.0
2013-05-30 05:18:06,173.0,3.0
