appliance,model,MAE,SAE,Precision,Recall,F1-score,PR-AUC,FPR,TP,FP,TN,FN,status_positive_ratio
dishwasher,Seq2Point,30.60439682006836,0.594233512878418,0.4610251951426813,0.6920110273631112,0.5533816071062121,0.6516702710992127,0.03343166294193786,47191,55170,1595062,21003,0.03968398988376572
dishwasher,StateAwareSeq2Point,32.00294494628906,0.6331859827041626,0.4839793108080876,0.7395811948265243,0.5850826261723984,0.6483227191613987,0.03258572128040178,50435,53774,1596458,17759,0.03968398988376572
washing_machine,Seq2Point,7.982938289642334,0.1446458846330642,0.4326490753361951,0.9273504273504274,0.5900256641464937,0.6480404779157438,0.016488685203700625,21266,27887,1663394,1666,0.013377567431818567
washing_machine,StateAwareSeq2Point,7.674459934234619,0.1213868334889411,0.3540987837532664,0.9572649572649573,0.5169677130678473,0.6705727578001965,0.02367554534107579,21952,40042,1651239,980,0.013377567431818567
fridge,Seq2Point,30.186241149902344,0.4751890897750854,0.8381002383925531,0.38650802168433124,0.52903851080334,0.7844964131093103,0.05985051796239448,295313,57047,896111,468741,0.4449386563802256
fridge,StateAwareSeq2Point,29.33965301513672,0.4934521913528442,0.8748946234544773,0.3911922455742657,0.5406453550103737,0.8175265168163716,0.044840414705641665,298892,42740,910418,465162,0.4449386563802256
kettle,Seq2Point,9.251302719116213,0.1555152088403701,0.9807796636441137,0.6276347765709468,0.7654388193310349,0.9662413832331733,0.00011732425016557858,12655,248,2113552,7508,0.00944861743151123
kettle,StateAwareSeq2Point,8.55921459197998,0.0730438753962516,0.9774131685489026,0.45499181669394434,0.6209347186029984,0.9639652606375131,0.00010029331062541395,9174,212,2113588,10989,0.00944861743151123
microwave,Seq2Point,7.961343765258789,0.5836286544799805,0.3506061326360827,0.17197155182464732,0.23075719649561952,0.14619291225391182,0.0016018772218570636,1475,2732,1702767,7102,0.005003862139135021
microwave,StateAwareSeq2Point,7.687496185302734,0.6151432991027832,0.3507150715071507,0.18584586685321208,0.2429507696997409,0.17342799374021423,0.0017302853886164693,1594,2951,1702548,6983,0.005003862139135021
