appliance,model,MAE,SAE,Precision,Recall,F1-score,PR-AUC,FPR,TP,FP,TN,FN,status_positive_ratio
dishwasher,Seq2Point,30.60439682006836,0.594233512878418,0.4610251951426813,0.6920110273631112,0.5533816071062121,0.6516702710992127,0.03343166294193786,47191,55170,1595062,21003,0.03968398988376572
dishwasher,StateAwareSeq2Point,32.00294494628906,0.6331859827041626,0.4839793108080876,0.7395811948265243,0.5850826261723984,0.6483227191613987,0.03258572128040178,50435,53774,1596458,17759,0.03968398988376572
washing_machine,Seq2Point,7.982938289642334,0.1446458846330642,0.4326490753361951,0.9273504273504274,0.5900256641464937,0.6480404779157438,0.016488685203700625,21266,27887,1663394,1666,0.013377567431818567
washing_machine,StateAwareSeq2Point,6.941927433013916,0.3890628814697265,0.4484231610358289,0.9567416710273853,0.6106402816627006,0.808023045657275,0.015956544181599627,21940,26987,1664294,992,0.013377567431818567
fridge,Seq2Point,30.186241149902344,0.4751890897750854,0.8381002383925531,0.38650802168433124,0.52903851080334,0.7844964131093103,0.05985051796239448,295313,57047,896111,468741,0.4449386563802256
fridge,StateAwareSeq2Point,31.35048484802246,0.5313571095466614,0.8490107269087224,0.35966175165629655,0.5052761449114943,0.788620944255451,0.051272716590533784,274801,48871,904287,489253,0.4449386563802256
kettle,Seq2Point,9.251302719116213,0.1555152088403701,0.9807796636441137,0.6276347765709468,0.7654388193310349,0.9662413832331733,0.00011732425016557858,12655,248,2113552,7508,0.00944861743151123
kettle,StateAwareSeq2Point,11.07837963104248,0.0778210014104843,0.978058829165469,0.5062738679759956,0.6671895424836601,0.9553401894509336,0.0001083356987416028,10208,229,2113571,9955,0.00944861743151123
microwave,Seq2Point,7.961343765258789,0.5836286544799805,0.3506061326360827,0.17197155182464732,0.23075719649561952,0.14619291225391182,0.0016018772218570636,1475,2732,1702767,7102,0.005003862139135021
microwave,StateAwareSeq2Point,8.977066040039062,0.416613757610321,0.2798389919495975,0.186428821266177,0.22377720243509902,0.15715327984883593,0.0024127835900226266,1599,4115,1701384,6978,0.005003862139135021
