appliance,model,state_gate_threshold,checkpoint,test_csv,results_csv,Precision,Recall,F1-score,FPR,PR-AUC,TP,FP,TN,FN,status_positive_ratio
dishwasher,StateAwareSeq2Point+StateGate,0.1,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6257674989766681,0.5380238730680118,0.5785879866904263,0.01329631227609209,0.5284668036594269,36690.0,21942.0,1628290.0,31504.0,0.03968398988376572
dishwasher,StateAwareSeq2Point+StateGate,0.2,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6281780997171018,0.5112179957180983,0.5636950141885827,0.01250430242535595,0.5284668036594269,34862.0,20635.0,1629597.0,33332.0,0.03968398988376572
dishwasher,StateAwareSeq2Point+StateGate,0.3,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6309539442829003,0.49319588233568934,0.553634186289599,0.011920748112992598,0.5284668036594269,33633.0,19672.0,1630560.0,34561.0,0.03968398988376572
dishwasher,StateAwareSeq2Point+StateGate,0.4,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6321988010056082,0.47938235035340354,0.5452862289831867,0.01152504617532565,0.5284668036594269,32691.0,19019.0,1631213.0,35503.0,0.03968398988376572
dishwasher,StateAwareSeq2Point+StateGate,0.5,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6331290296903606,0.46655130949936946,0.5372237137598568,0.011171762515815958,0.5284668036594269,31816.0,18436.0,1631796.0,36378.0,0.03968398988376572
dishwasher,StateAwareSeq2Point+StateGate,0.6,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6344826173355459,0.45416019004604513,0.5293871306844891,0.010811813126881554,0.5284668036594269,30971.0,17842.0,1632390.0,37223.0,0.03968398988376572
dishwasher,StateAwareSeq2Point+StateGate,0.7,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_dishwasher_exported_h1_h2_300k_strict_w0p05/dishwasher_ukdale_exported_h1_h2_dishwasher_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/dishwasher_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/dishwasher_300k_strict_w0p05/dishwasher_StateAwareSeq2Point_results.csv,0.6368584923643912,0.44091855588468193,0.521077577616609,0.010389448271515762,0.5284668036594269,30068.0,17145.0,1633087.0,38126.0,0.03968398988376572
washing_machine,StateAwareSeq2Point+StateGate,0.1,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.4940119760479042,0.9281789638932496,0.6448241388712169,0.012890229358693203,0.8314818041162659,21285.0,21801.0,1669480.0,1647.0,0.013377567431818567
washing_machine,StateAwareSeq2Point+StateGate,0.2,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.5750152752319058,0.9028431885574743,0.7025688011130339,0.009047579911321655,0.8314818041162659,20704.0,15302.0,1675979.0,2228.0,0.013377567431818567
washing_machine,StateAwareSeq2Point+StateGate,0.3,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.6340437552967764,0.8808651665794522,0.737347374568816,0.0068935913074172775,0.8314818041162659,20200.0,11659.0,1679622.0,2732.0,0.013377567431818567
washing_machine,StateAwareSeq2Point+StateGate,0.4,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.6785837651122625,0.8566631780917495,0.7572954011025018,0.005501746900721997,0.8314818041162659,19645.0,9305.0,1681976.0,3287.0,0.013377567431818567
washing_machine,StateAwareSeq2Point+StateGate,0.5,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.7199198366482644,0.830237223094366,0.7711531451253595,0.004379520611891223,0.8314818041162659,19039.0,7407.0,1683874.0,3893.0,0.013377567431818567
washing_machine,StateAwareSeq2Point+StateGate,0.6,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.761318242343542,0.7978370835513693,0.7791499872242569,0.0033915121141903683,0.8314818041162659,18296.0,5736.0,1685545.0,4636.0,0.013377567431818567
washing_machine,StateAwareSeq2Point+StateGate,0.7,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_washing_machine_exported_h1_h2_300k_strict_w0p05/washing_machine_ukdale_exported_h1_h2_washing_machine_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/washing_machine_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/washing_machine_300k_strict_w0p05/washing_machine_StateAwareSeq2Point_results.csv,0.8065715480782637,0.7568027210884354,0.7808949582667776,0.002460856593315954,0.8314818041162659,17355.0,4162.0,1687119.0,5577.0,0.013377567431818567
fridge,StateAwareSeq2Point+StateGate,0.1,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_fridge_exported_h1_h2_300k_strict_w0p05/fridge_ukdale_exported_h1_h2_fridge_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/fridge_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/fridge_300k_strict_w0p05/fridge_StateAwareSeq2Point_results.csv,0.8756192461861483,0.39025906545872413,0.5398913079887632,0.04443754340833314,0.8201909713294038,298179.0,42356.0,910802.0,465875.0,0.4449386563802256
fridge,StateAwareSeq2Point+StateGate,0.2,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/saved_models/state_aware_official_fridge_exported_h1_h2_300k_strict_w0p05/fridge_ukdale_exported_h1_h2_fridge_300k_strict_w0p05_StateAwareSeq2Point.pth,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/dataset/ukdale/exported_csv/UKDALE_dataset/fridge_H2.csv,/home/3427548265@qq.com/data/laijingjing/workspace/nilm/result/ukdale_exported_h1_h2/fridge_300k_strict_w0p05/fridge_StateAwareSeq2Point_results.csv,0.8757954936993659,0.38923034235800086,0.5389394748025367,0.04424869748771977,0.8201909713294038,297393.0,42176.0,910982.0,466661.0,0.4449386563802256
